                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.4756,                 2.0105,                 1.1644,                  1.129,                 0.6522,                0.63837,                0.67314,                0.35302,                0.65752,                0.64358,                0.67441,                0.31808,                 1.5478,                 2.1773,                 1.1641,                 1.1701,              0.0017624,              0.0017624,              0.0017624
                     50,                 1.4854,                 2.0394,                 1.1897,                 1.1388,                0.64064,                0.65236,                 0.6815,                0.35734,                0.66086,                0.66894,                0.70365,                0.33263,                 1.5555,                 2.1483,                  1.178,                 1.1557,              0.0017575,              0.0017575,              0.0017575
                     51,                 1.4601,                 1.9834,                 1.1647,                 1.1249,                0.64523,                0.66146,                0.67533,                 0.3519,                0.65161,                0.67252,                0.68512,                0.32896,                 1.5735,                 2.1047,                 1.1957,                 1.1651,              0.0017525,              0.0017525,              0.0017525
                     52,                 1.4753,                 2.0024,                 1.1668,                 1.1324,                0.65209,                0.66602,                0.68427,                0.35766,                0.67338,                0.67935,                0.70713,                0.35324,                 1.5671,                 2.0086,                 1.1487,                 1.1708,              0.0017476,              0.0017476,              0.0017476
                     53,                 1.4785,                 1.9902,                 1.1756,                 1.1393,                0.65275,                0.65626,                0.68897,                0.36028,                 0.6684,                0.65919,                 0.6991,                0.33007,                 1.5708,                 2.1788,                 1.1581,                  1.162,              0.0017426,              0.0017426,              0.0017426
                     54,                 1.4712,                 1.9921,                 1.1542,                 1.1175,                0.67049,                0.65431,                0.69365,                0.36697,                0.68283,                0.66797,                0.70773,                0.34526,                 1.5349,                 2.0818,                 1.1334,                 1.1521,              0.0017376,              0.0017376,              0.0017376
                     55,                 1.4385,                 1.9626,                 1.1683,                  1.111,                0.64714,                0.64293,                0.67527,                0.35805,                 0.6616,                0.66059,                0.69685,                0.34443,                 1.5453,                 2.0423,                 1.1607,                 1.1493,              0.0017327,              0.0017327,              0.0017327
                     56,                 1.4642,                 1.9953,                 1.1576,                  1.123,                0.68805,                0.63154,                0.69627,                0.36464,                0.67879,                0.64715,                0.69806,                0.33058,                 1.5288,                 2.1055,                   1.14,                 1.1597,              0.0017278,              0.0017278,              0.0017278
                     57,                 1.4522,                 1.9329,                  1.138,                 1.1237,                0.67482,                0.64921,                0.68884,                 0.3606,                0.68953,                0.65756,                0.70715,                 0.3505,                 1.5769,                  2.077,                 1.1334,                 1.1674,              0.0017228,              0.0017228,              0.0017228
                     58,                 1.4628,                 1.9745,                 1.1575,                 1.1211,                0.68545,                0.63837,                0.68633,                0.36413,                0.68794,                0.63837,                0.68479,                0.32446,                 1.5422,                 2.1981,                 1.1383,                 1.1559,              0.0017179,              0.0017179,              0.0017179
                     59,                 1.4562,                 1.9726,                 1.1407,                 1.1212,                0.64473,                 0.6413,                0.66623,                0.35409,                0.64635,                0.65203,                0.67205,                0.31573,                 1.5445,                 2.1877,                 1.1972,                 1.1591,              0.0017129,              0.0017129,              0.0017129
