                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                  1.417,                 1.9247,                 1.1452,                  1.162,                0.64489,                0.63843,                0.66603,                 0.3544,                0.65819,                0.64501,                0.67306,                0.33645,                 1.5615,                 1.9527,                 1.1642,                 1.2026,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.4236,                 1.9396,                 1.1392,                 1.1674,                0.65959,                0.62732,                0.66485,                0.36047,                0.67258,                0.63967,                0.67636,                0.34742,                 1.5559,                 1.9661,                 1.1603,                  1.206,              0.0015347,              0.0015347,              0.0015347
                     49,                 1.4416,                  1.954,                 1.1487,                 1.1693,                0.64615,                0.64943,                 0.6722,                0.36516,                0.66117,                 0.6625,                0.68852,                0.34709,                 1.5118,                  1.992,                 1.1411,                 1.1843,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.4411,                 1.9403,                 1.1592,                 1.1725,                0.66851,                0.64715,                 0.6872,                0.37611,                0.68021,                0.65576,                0.69507,                0.34258,                 1.5102,                 1.8352,                 1.1276,                 1.1893,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.4208,                  1.933,                 1.4195,                 1.1589,                0.64912,                 0.6361,                0.67408,                0.36286,                0.66125,                0.65765,                0.69284,                0.34717,                 1.5265,                 1.9881,                 1.1652,                 1.1924,               0.001505,               0.001505,               0.001505
                     52,                 1.4361,                 1.9313,                 1.1691,                 1.1706,                0.64683,                0.64553,                0.67821,                0.36963,                0.65791,                0.65922,                0.69043,                0.35038,                 1.5226,                 1.9616,                 1.1294,                 1.1871,              0.0014951,              0.0014951,              0.0014951
                     53,                 1.4244,                 1.9057,                 1.1154,                 1.1521,                0.66343,                0.65171,                0.69214,                0.37813,                0.67578,                0.67024,                0.70761,                 0.3604,                 1.5024,                 1.9555,                 1.1119,                 1.1839,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.4259,                 1.8709,                 1.1292,                 1.1584,                0.67579,                0.64488,                0.69616,                0.37635,                0.67324,                0.66266,                0.70838,                0.36156,                 1.5167,                  1.948,                 1.1147,                 1.1915,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.4136,                  1.914,                 1.1425,                 1.1601,                0.68172,                 0.6335,                0.68846,                0.36904,                0.68748,                0.64553,                0.69791,                0.34487,                 1.5474,                 1.9094,                 1.1316,                 1.1968,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.4005,                 1.8744,                 1.1123,                 1.1457,                0.67547,                0.63512,                  0.693,                0.37803,                0.68556,                0.64163,                0.70144,                0.35091,                 1.5232,                 1.9254,                  1.114,                 1.1866,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.4247,                 1.9038,                  1.137,                 1.1583,                0.67081,                0.64618,                0.68642,                   0.37,                0.67554,                0.65301,                0.69194,                0.32953,                 1.5364,                 1.8517,                 1.1138,                 1.1884,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.4028,                 1.8845,                 1.1287,                  1.151,                0.67024,                0.64228,                0.69268,                 0.3707,                0.68148,                0.65854,                0.70655,                0.35732,                  1.541,                 1.9777,                 1.1106,                  1.197,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.4272,                 1.9071,                 1.1397,                 1.1587,                0.67572,                0.64917,                0.70225,                0.37503,                0.68237,                0.66161,                0.71378,                0.35692,                   1.53,                 1.9598,                 1.1067,                 1.1895,              0.0014258,              0.0014258,              0.0014258
                     60,                 1.4249,                 1.8859,                 1.1293,                 1.1613,                0.66582,                0.64455,                0.68915,                0.36541,                0.67606,                0.65969,                0.70398,                0.35327,                 1.5524,                 1.9378,                 1.1172,                 1.1949,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.4238,                 1.8914,                 1.1171,                 1.1649,                0.67703,                0.64149,                0.69572,                0.36952,                0.68531,                0.66076,                0.71093,                0.35774,                 1.5427,                 1.8974,                 1.1206,                 1.1827,               0.001406,               0.001406,               0.001406
                     62,                 1.4101,                 1.8738,                 1.1144,                 1.1511,                 0.6666,                0.65803,                0.69245,                0.37206,                0.67846,                0.66149,                0.70132,                0.35097,                 1.5364,                 1.9118,                   1.11,                 1.1895,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.4264,                 1.8717,                 1.1304,                 1.1553,                0.66574,                0.64098,                0.68242,                0.36314,                0.67143,                0.65073,                0.69225,                0.34171,                 1.5458,                 1.9545,                 1.1236,                 1.1956,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.3929,                 1.8843,                 1.1028,                 1.1512,                 0.6771,                0.65236,                0.69696,                0.37092,                0.68715,                0.66276,                0.70937,                0.35042,                 1.5299,                 1.9226,                 1.1198,                 1.1862,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.4147,                 1.8668,                  1.113,                 1.1512,                0.69299,                0.65528,                0.70759,                0.38538,                0.70262,                0.66439,                 0.7158,                0.36255,                  1.498,                 1.9694,                 1.0892,                 1.1822,              0.0013664,              0.0013664,              0.0013664
